Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-9.5488E-07,0.046412,0.012127,0,0,0,0.7275,0.0024737,1.7563E-08,1.3833E-08,0.0024593,-3.5963E-08,0.0024831,0,0,0,0,0,0,package://V000/meshes/body.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://V000/meshes/body.STL,,body_subassem-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
00,-0.04403,-3.63E-07,0.057725,0,0,0,0.10385,7.6261E-05,1.3685E-14,-6.4182E-10,7.581E-05,-6.4182E-10,3.2297E-05,0,0,0,0,0,0,package://V000/meshes/00.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/00.STL,,frame-1,Origin_body_00,Axis_body_00,body_00,revolute,-0.069859,-0.096152,-0.011848,-3.1416,1.3821,0.94248,body,1,0,0,0,0,0,0,,,,,,,,
01,-1.452E-06,-1.452E-06,0.057726,0,0,0,0.10385,6.6794E-05,2.1896E-13,-2.7936E-09,8.5266E-05,-2.7936E-09,3.2297E-05,0,0,0,0,0,0,package://V000/meshes/01.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/01.STL,,frame-2,Origin_00_01,Axis_00_01,00_01,revolute,-0.04403,0,0.0812,0,0,1.5708,00,1,0,0,0,0,0,0,,,,,,,,
02,-2.498E-16,-0.053216,0.053118,0,0,0,0.14125,0.00041656,-2.4496E-18,4.4723E-19,5.4419E-05,6.0803E-05,0.00039441,0,0,0,0,0,0,package://V000/meshes/02.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/02.STL,,frame-3,Origin_01_02,Axis_01_02,01_02,revolute,0,0,0.0812,0,0,0,01,1,0,0,0,0,0,0,,,,,,,,
10,-0.026771,-3.63E-07,0.057725,0,0,0,0.10385,7.6261E-05,1.3685E-14,-6.4182E-10,7.581E-05,-6.4182E-10,3.2297E-05,0,0,0,0,0,0,package://V000/meshes/10.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/10.STL,,frame-25,Origin_body_10,Axis_body_10,body_10,revolute,-0.11611,0.037727,0.0051045,-3.1416,1.3821,-0.31416,body,1,0,0,0,0,0,0,,,,,,,,
11,-1.452E-06,-1.452E-06,0.057726,0,0,0,0.10385,6.6794E-05,2.1896E-13,-2.7936E-09,8.5266E-05,-2.7936E-09,3.2297E-05,0,0,0,0,0,0,package://V000/meshes/11.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/11.STL,,frame-24,Origin_10_11,Axis_10_11,10_11,revolute,-0.026771,0,0.0812,0,0,1.5708,10,1,0,0,0,0,0,0,,,,,,,,
12,9.2981E-16,-0.053216,0.053118,0,0,0,0.14125,0.00041656,-2.2192E-19,6.0986E-20,5.4419E-05,6.0803E-05,0.00039441,0,0,0,0,0,0,package://V000/meshes/12.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/12.STL,,frame-23,Origin_11_12,Axis_11_12,11_12,revolute,0,0,0.0812,0,0,0,11,1,0,0,0,0,0,0,,,,,,,,
20,-0.049485,-3.63E-07,0.057725,0,0,0,0.10385,7.6261E-05,1.3685E-14,-6.4182E-10,7.581E-05,-6.4182E-10,3.2297E-05,0,0,0,0,0,0,package://V000/meshes/20.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/20.STL,,frame-28,Origin_body_20,Axis_body_20,body_20,revolute,0.11206,0.036411,-0.017207,3.1416,1.3821,-2.8274,body,1,0,0,0,0,0,0,,,,,,,,
21,-1.452E-06,-1.452E-06,0.057726,0,0,0,0.10385,6.6794E-05,2.1896E-13,-2.7936E-09,8.5266E-05,-2.7936E-09,3.2297E-05,0,0,0,0,0,0,package://V000/meshes/21.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/21.STL,,frame-27,Origin_20_21,Axis_20_21,20_21,revolute,-0.049485,0,0.0812,0,0,1.5708,20,1,0,0,0,0,0,0,,,,,,,,
22,-6.9389E-17,-0.053216,0.053118,0,0,0,0.14125,0.00041656,-5.2685E-19,1.7618E-19,5.4419E-05,6.0803E-05,0.00039441,0,0,0,0,0,0,package://V000/meshes/22.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/22.STL,,frame-26,Origin_21_22,Axis_21_22,21_22,revolute,0,0,0.0812,0,0,0,21,1,0,0,0,0,0,0,,,,,,,,
30,-0.056386,-3.63E-07,0.057725,0,0,0,0.10385,7.6261E-05,1.3685E-14,-6.4182E-10,7.581E-05,-6.4182E-10,3.2297E-05,0,0,0,0,0,0,package://V000/meshes/30.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/30.STL,,frame-31,Origin_body_30,Axis_body_30,body_30,revolute,0.068496,-0.094277,-0.023985,3.1416,1.3821,2.1991,body,1,0,0,0,0,0,0,,,,,,,,
31,-1.452E-06,-1.452E-06,0.057726,0,0,0,0.10385,6.6794E-05,2.1896E-13,-2.7936E-09,8.5266E-05,-2.7936E-09,3.2297E-05,0,0,0,0,0,0,package://V000/meshes/31.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/31.STL,,frame-30,Origin_30_31,Axis_30_31,30_31,revolute,-0.056386,0,0.0812,0,0,1.5708,30,1,0,0,0,0,0,0,,,,,,,,
32,2.498E-16,-0.053216,0.053118,0,0,0,0.14125,0.00041656,1.6941E-20,5.421E-20,5.4419E-05,6.0803E-05,0.00039441,0,0,0,0,0,0,package://V000/meshes/32.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://V000/meshes/32.STL,,frame-29,Origin_31_32,Axis_31_32,31_32,revolute,0,0,0.0812,0,0,0,31,1,0,0,0,0,0,0,,,,,,,,
